country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","21-08-2025 09:00:00",28.623763,77.287209,NH3,4,6,5
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","21-08-2025 09:00:00",28.674045,77.131023,PM10,59,121,91
India,Delhi,Delhi,"Pusa, Delhi - DPCC","21-08-2025 09:00:00",28.639652,77.146275,CO,45,66,50
India,Delhi,Delhi,"Pusa, Delhi - IMD","21-08-2025 09:00:00",28.636110,77.173332,OZONE,NA,NA,NA
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","21-08-2025 09:00:00",28.563262,77.186937,PM2.5,15,50,35
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","21-08-2025 09:00:00",28.498571,77.264840,NH3,NA,NA,NA
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","21-08-2025 09:00:00",28.498571,77.264840,SO2,NA,NA,NA
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","21-08-2025 09:00:00",28.5627763,77.1180053,PM10,51,104,74
India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD","21-08-2025 09:00:00",28.5627763,77.1180053,NO2,27,113,66
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","21-08-2025 09:00:00",28.6811736,77.3025234,NH3,5,8,6
India,Delhi,Delhi,"Alipur, Delhi - DPCC","21-08-2025 09:00:00",28.815329,77.153010,NO2,13,35,22
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","21-08-2025 09:00:00",28.647622,77.3158090,SO2,NA,NA,NA
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","21-08-2025 09:00:00",28.647622,77.3158090,OZONE,9,24,13
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","21-08-2025 09:00:00",28.695381,77.181665,PM2.5,18,180,43
India,Delhi,Delhi,"Aya Nagar, Delhi - IMD","21-08-2025 09:00:00",28.4706914,77.1099364,PM2.5,2,131,61
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","21-08-2025 09:00:00",28.5504249,77.2159377,SO2,25,26,26
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","21-08-2025 09:00:00",28.5504249,77.2159377,OZONE,14,56,22
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","21-08-2025 09:00:00",28.710508,77.249485,OZONE,12,62,25
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","21-08-2025 09:00:00",28.531346,77.190156,NO2,10,67,37
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","21-08-2025 09:00:00",28.531346,77.190156,NH3,3,7,5
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","21-08-2025 09:00:00",28.611281,77.237738,PM10,33,69,50
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","21-08-2025 09:00:00",28.636429,77.201067,NO2,25,56,38
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","21-08-2025 09:00:00",28.636429,77.201067,NH3,3,5,4
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","21-08-2025 09:00:00",28.636429,77.201067,SO2,3,15,10
India,Delhi,Delhi,"Mundka, Delhi - DPCC","21-08-2025 09:00:00",28.684678,77.076574,CO,18,42,31
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","21-08-2025 09:00:00",28.732820,77.170633,NO2,2,16,10
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","21-08-2025 09:00:00",28.580280,77.233829,PM10,42,101,65
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","21-08-2025 09:00:00",28.580280,77.233829,NH3,5,11,8
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","21-08-2025 09:00:00",28.580280,77.233829,CO,52,95,57
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","21-08-2025 09:00:00",28.588333,77.221667,NO2,73,134,100
India,Delhi,Delhi,"Rohini, Delhi - DPCC","21-08-2025 09:00:00",28.732528,77.119920,NO2,11,51,27
India,Delhi,Delhi,"Rohini, Delhi - DPCC","21-08-2025 09:00:00",28.732528,77.119920,OZONE,40,66,41
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","21-08-2025 09:00:00",22.410802,73.097923,SO2,2,15,9
India,Gujarat,Surat,"Science Center, Surat - SMC","21-08-2025 09:00:00",21.170046,72.795405,PM2.5,1,5,2
India,Gujarat,Surat,"Science Center, Surat - SMC","21-08-2025 09:00:00",21.170046,72.795405,PM10,2,34,14
India,Gujarat,Surat,"Science Center, Surat - SMC","21-08-2025 09:00:00",21.170046,72.795405,SO2,16,19,17
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","21-08-2025 09:00:00",22.969611,72.643500,PM2.5,25,74,53
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","21-08-2025 09:00:00",28.3153,76.9143,PM2.5,18,29,23
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","21-08-2025 09:00:00",28.3153,76.9143,NO2,4,27,12
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","21-08-2025 09:00:00",23.707909,86.414670,PM10,25,55,39
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","21-08-2025 09:00:00",23.707909,86.414670,SO2,4,4,4
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","21-08-2025 09:00:00",23.707909,86.414670,CO,4,102,10
India,Jharkhand,Jorapokhar,"Tata Stadium, Jorapokhar - JSPCB","21-08-2025 09:00:00",23.707909,86.414670,OZONE,1,21,6
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","21-08-2025 09:00:00",16.172806,75.659694,OZONE,12,16,16
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","21-08-2025 09:00:00",12.951913,77.539784,SO2,3,9,4
